"","price","price_0","price_01","price_mill","price_sd","area","bedrooms","bathrooms","basement"
"1",13300000,8533270.75229358,1,13.3,4.56217387659127,7420,4,2,0
"2",12250000,7483270.75229358,0.921052631578947,12.25,4.00080852097622,8960,4,4,0
"3",12250000,7483270.75229358,0.921052631578947,12.25,4.00080852097622,9960,3,2,1
"4",12215000,7448270.75229358,0.918421052631579,12.215,3.98209634245572,7500,4,2,1
"5",11410000,6643270.75229358,0.857894736842105,11.41,3.55171623648417,7420,4,1,1
"6",10850000,6083270.75229358,0.815789473684211,10.85,3.25232138015614,7500,3,3,1
"7",10150000,5383270.75229358,0.763157894736842,10.15,2.87807780974611,8580,4,3,0
"8",10150000,5383270.75229358,0.763157894736842,10.15,2.87807780974611,16200,5,3,0
"9",9870000,5103270.75229358,0.742105263157895,9.87,2.72838038158209,8100,4,1,1
"10",9800000,5033270.75229358,0.736842105263158,9.8,2.69095602454109,5750,3,2,0
"11",9800000,5033270.75229358,0.736842105263158,9.8,2.69095602454109,13200,3,1,1
"12",9681000,4914270.75229358,0.727894736842105,9.681,2.62733461757138,6000,4,3,1
"13",9310000,4543270.75229358,0.7,9.31,2.42898552525406,6550,4,2,0
"14",9240000,4473270.75229358,0.694736842105263,9.24,2.39156116821306,3500,4,2,0
"15",9240000,4473270.75229358,0.694736842105263,9.24,2.39156116821306,7800,3,2,0
"16",9100000,4333270.75229358,0.684210526315789,9.1,2.31671245413105,6000,4,1,1
"17",9100000,4333270.75229358,0.684210526315789,9.1,2.31671245413105,6600,4,2,1
"18",8960000,4193270.75229358,0.673684210526316,8.96,2.24186374004904,8500,3,2,0
"19",8890000,4123270.75229358,0.668421052631579,8.89,2.20443938300804,4600,3,2,0
"20",8855000,4088270.75229358,0.66578947368421,8.855,2.18572720448754,6420,3,2,0
"21",8750000,3983270.75229358,0.657894736842105,8.75,2.12959066892603,4320,3,1,1
"22",8680000,3913270.75229358,0.652631578947368,8.68,2.09216631188503,7155,3,2,1
"23",8645000,3878270.75229358,0.65,8.645,2.07345413336453,8050,3,1,1
"24",8645000,3878270.75229358,0.65,8.645,2.07345413336453,4560,3,2,1
"25",8575000,3808270.75229358,0.644736842105263,8.575,2.03602977632352,8800,3,2,0
"26",8540000,3773270.75229358,0.642105263157895,8.54,2.01731759780302,6540,4,2,1
"27",8463000,3696270.75229358,0.636315789473684,8.463,1.97615080505792,6000,3,2,1
"28",8400000,3633270.75229358,0.631578947368421,8.4,1.94246888372101,8875,3,1,0
"29",8400000,3633270.75229358,0.631578947368421,8.4,1.94246888372101,7950,5,2,1
"30",8400000,3633270.75229358,0.631578947368421,8.4,1.94246888372101,5500,4,2,1
"31",8400000,3633270.75229358,0.631578947368421,8.4,1.94246888372101,7475,3,2,0
"32",8400000,3633270.75229358,0.631578947368421,8.4,1.94246888372101,7000,3,1,0
"33",8295000,3528270.75229358,0.623684210526316,8.295,1.88633234815951,4880,4,2,0
"34",8190000,3423270.75229358,0.615789473684211,8.19,1.830195812598,5960,3,3,1
"35",8120000,3353270.75229358,0.610526315789474,8.12,1.792771455557,6840,5,1,1
"36",8080940,3314210.75229358,0.607589473684211,8.08094,1.77188866432812,7000,3,2,0
"37",8043000,3276270.75229358,0.604736842105263,8.043,1.7516046628119,7482,3,2,0
"38",7980000,3213270.75229358,0.6,7.98,1.71792274147499,9000,4,2,0
"39",7962500,3195770.75229358,0.598684210526316,7.9625,1.70856665221474,6000,3,1,0
"40",7910000,3143270.75229358,0.594736842105263,7.91,1.68049838443399,6000,4,2,0
"41",7875000,3108270.75229358,0.592105263157895,7.875,1.66178620591349,6550,3,1,1
"42",7840000,3073270.75229358,0.589473684210526,7.84,1.64307402739298,6360,3,2,0
"43",7700000,2933270.75229358,0.578947368421053,7.7,1.56822531331098,6480,3,2,0
"44",7700000,2933270.75229358,0.578947368421053,7.7,1.56822531331098,6000,4,2,0
"45",7560000,2793270.75229358,0.568421052631579,7.56,1.49337659922897,6000,4,2,0
"46",7560000,2793270.75229358,0.568421052631579,7.56,1.49337659922897,6000,3,2,0
"47",7525000,2758270.75229358,0.565789473684211,7.525,1.47466442070847,6000,3,2,0
"48",7490000,2723270.75229358,0.563157894736842,7.49,1.45595224218797,6600,3,1,0
"49",7455000,2688270.75229358,0.560526315789474,7.455,1.43724006366746,4300,3,2,1
"50",7420000,2653270.75229358,0.557894736842105,7.42,1.41852788514696,7440,3,2,1
"51",7420000,2653270.75229358,0.557894736842105,7.42,1.41852788514696,7440,3,2,0
"52",7420000,2653270.75229358,0.557894736842105,7.42,1.41852788514696,6325,3,1,0
"53",7350000,2583270.75229358,0.552631578947368,7.35,1.38110352810596,6000,4,2,0
"54",7350000,2583270.75229358,0.552631578947368,7.35,1.38110352810596,5150,3,2,0
"55",7350000,2583270.75229358,0.552631578947368,7.35,1.38110352810596,6000,3,2,0
"56",7350000,2583270.75229358,0.552631578947368,7.35,1.38110352810596,6000,3,1,0
"57",7343000,2576270.75229358,0.552105263157895,7.343,1.37736109240186,11440,4,1,1
